word,rank,neighbor,score
izbaciti,7.0,prebaciti,0.8656836152076721
izbaciti,8.0,odbaciti,0.8655096292495728
izbaciti,9.0,izbace,0.8456588983535767
izbaciti,10.0,izbacivao,0.8332007527351379
odbaciti,1.0,baciti,0.8977862596511841
odbaciti,2.0,odbaci,0.8847532272338867
odbaciti,3.0,odbacite,0.8751168251037598
odbaciti,4.0,ubaciti,0.8727831244468689
odbaciti,5.0,izbaciti,0.8655096888542175
odbaciti,6.0,odbiti,0.8572950959205627
odbaciti,7.0,prebaciti,0.8459455966949463
odbaciti,8.0,uvažiti,0.8373235464096069
odbaciti,9.0,odluciti,0.8354256749153137
odbaciti,10.0,odložiti,0.8340104818344116
ubaciti,1.0,baciti,0.9091805219650269
ubaciti,2.0,ubacivati,0.8967643976211548
ubaciti,3.0,izbaciti,0.883148729801178
ubaciti,4.0,ubaci,0.8808322548866272
ubaciti,5.0,ubaciš,0.8796274065971375
ubaciti,6.0,odbaciti,0.8727830052375793
ubaciti,7.0,prebaciti,0.8721169233322144
ubaciti,8.0,ubacite,0.8692506551742554
ubaciti,9.0,ubacimo,0.86708664894104
ubaciti,10.0,ubacim,0.8471829295158386
izvući,1.0,izvuče,0.8903148174285889
izvući,2.0,izvuku,0.8710944056510925
izvući,3.0,uvući,0.8691976070404053
izvući,4.0,izvlače,0.8600722551345825
izvući,5.0,izvlači,0.8517897725105286
izvući,6.0,izvlačiti,0.8486703634262085
izvući,7.0,povući,0.841334342956543
izvući,8.0,izvukao,0.8399155735969543
izvući,9.0,izvuci,0.8361917734146118
izvući,10.0,izvade,0.8336697816848755
privući,1.0,privuče,0.9299072623252869
privući,2.0,privuku,0.9149845838546753
privući,3.0,privuklo,0.8929317593574524
privući,4.0,privukao,0.8844051361083984
